eval,19533052,34033528
eval,19920489,34610164
eval,20333620,35186799
eval,20823823,35693771
eval,21216291,36242570
eval,21676671,36751907
eval,22101067,37263453
eval,22568345,37834123
eval,22975680,38374562
eval,23425722,38894324
eval,23819242,39414345
eval,24248087,39941971
eval,24704946,40452730
eval,25145741,41023393
eval,25601389,41569527
eval,26066417,42074654
eval,26519470,42607591
eval,27024714,43184366
eval,27445968,43771588
eval,27922613,44317883
eval,28342936,44828199
eval,28810239,45428741
eval,29208527,46055625
eval,29613385,46612828
eval,30112073,47135274
eval,30508270,47694992
eval,30927262,48274206
eval,31321890,48899323
eval,31789866,49495359
eval,32267557,50082337
eval,32700929,50647633
eval,33208599,51248120
eval,51420731,65829023
eval,51870981,66422712
eval,52324794,66930876
eval,52712483,67440789
eval,53134240,68022371
eval,53638395,68558025
eval,54026874,69076011
eval,54473504,69629014
eval,54886825,70206064
eval,55287020,70727096
eval,55679807,71273750
eval,56072937,71867551
eval,56474154,72425575
eval,56915326,72934510
eval,57336050,73535917
eval,57833656,74152140
eval,58245581,74766136
eval,58698733,75353717
eval,59165818,75956760
eval,59583602,76526540
eval,60089007,77098567
eval,60562406,77691540
eval,60946592,78238463
eval,61373516,78864855
eval,61771339,79413496
eval,62212546,80018075
eval,62658526,80540332
eval,63161312,81119264
eval,63628345,81688567
eval,64097269,82237031
eval,64540056,82815984
eval,65008352,83412085
eval,83592258,98262338
eval,84059379,98808365
eval,84567764,99322154
eval,84957389,99865649
eval,85413655,100487433
eval,85818277,101047117
eval,86216940,101631598
eval,86646891,102233198
eval,87092875,102770010
eval,87487419,103393768
eval,87914601,103983966
eval,88383552,104516836
eval,88819569,105088631
eval,89199263,105642491
eval,89669554,106181551
eval,90168846,106798423
eval,90651245,107406899
eval,91118221,107953998
eval,91594461,108510626
eval,92040909,109118726
eval,92490311,109692625
eval,92952624,110223797
eval,93376027,110815590
eval,93880843,111417313
eval,94297938,112025253
eval,94771890,112569522
eval,95176374,113192806
